Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809152314,70.50131479999999,-161.9352405,0.0,0.0,0.007536720121626143,0.02055469124074872,0.0047960946228366745,0.0006851563746909534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152627,70.5012717,-161.9102767,0.0,0.0,0.0183944240969135,0.05016661117349057,0.011705542607125446,0.0016722203724474506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809152941,70.5013283,-161.8853373,0.0,0.0,0.010772243464391424,0.02937884581197899,0.006855064022791892,0.000979294860399883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153256,70.5013433,-161.8603617,0.0,0.0,0.0073815696420862515,0.020131553569367248,0.004697362499504913,0.0006710517856463504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153608,70.5012804,-161.8352767,0.0,0.0,0.014153432917244914,0.038600271592464395,0.009006730038249177,0.0012866757197475497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809153921,70.5013767,-161.8103175,0.0,0.0,0.0028168703741606183,0.007682373747696729,0.001792553874466749,0.00025607912492367133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809154234,70.50130290000001,-161.7852693,0.0,0.0,0.05067004772581682,0.1381910392525126,0.032244575825681125,0.004606367975092889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809154546,70.50112779999999,-161.7603834,0.0,0.0,0.006441747952341814,0.01756840350639843,0.004099294151493162,0.0005856134502123091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809154856,70.5010067,-161.73532419999998,0.0,0.0,0.003185785061623095,0.008688504713524345,0.002027317766485738,0.00028961682378387556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809155208,70.5008959,-161.7102987,0.0,0.0,0.0029774288776362257,0.008120260575360127,0.0018947274675871393,0.0002706753525124901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809155521,70.5008724,-161.6853007,0.0,0.0,0.009995538835378483,0.027260560460163605,0.006360797440693004,0.000908685348672062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170809155836,70.50094240000001,-161.6604135,0.0,0.0,0.005577316971451387,0.015210864467638746,0.0035492017091128497,0.0005070288155876374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
