Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
66.206,-167.04,18.84,18.02,3.1901,0.0007192,0,0.0001096,0.0028003,0.00012841
66.21,-167.02,18.53,23.513,2.5817,0.00094044,0,0.00014332,0.0036617,0.00016791
66.215,-167,18.235,8.6058,1.6958,0.00034013,0,5.1835e-05,0.0013243,6.0729e-05
66.22,-166.99,18.019,13.019,0.084146,0.00051864,0,7.9041e-05,0.0020194,9.2603e-05
66.225,-166.97,17.777,15.921,2.4473,0.00063507,0,9.6785e-05,0.0024727,0.00011339
66.23,-166.95,17.617,11.915,1.9081,0.00046974,0,7.1588e-05,0.001829,8.3872e-05
66.235,-166.94,17.452,10.029,0.63672,0.0003912,0,5.9618e-05,0.0015232,6.9847e-05
66.239,-166.92,17.364,14.867,0.52637,0.00057603,0,8.7786e-05,0.0022428,0.00010285
66.244,-166.9,17.278,5.3778,8.6386,0.0002086,0,3.179e-05,0.0008122,3.7245e-05
66.249,-166.89,17.303,9.7652,0.24504,0.00040007,0,6.097e-05,0.0015577,7.1432e-05
66.254,-166.87,17.33,5.8836,0.38786,0.00023692,0,3.6106e-05,0.00092247,4.2301e-05
66.259,-166.85,17.342,3.9299,0.68925,0.00015959,0,2.4321e-05,0.00062136,2.8494e-05
66.263,-166.83,17.404,6.0927,0.57538,0.00024235,0,3.6934e-05,0.00094361,4.3271e-05
66.268,-166.82,17.443,16.94,0.57731,0.00067158,0,0.00010235,0.0026149,0.00011991
66.273,-166.8,17.463,11.303,0.48167,0.00045524,0,6.9379e-05,0.0017725,8.1283e-05
66.278,-166.78,17.452,17.445,0.46737,0.00067841,0,0.00010339,0.0026414,0.00012113
66.283,-166.77,17.381,6.9045,2.1763,0.00026947,0,4.1067e-05,0.0010492,4.8114e-05
66.288,-166.75,17.349,19.05,2.4737,0.00077452,0,0.00011804,0.0030157,0.00013829
66.293,-166.73,17.206,9.9801,1.2092,0.00038736,0,5.9033e-05,0.0015082,6.9162e-05
66.298,-166.72,17.061,10.818,1.9706,0.00042097,0,6.4155e-05,0.0016391,7.5163e-05
66.303,-166.7,16.841,14.572,0.72859,0.0005561,0,8.4749e-05,0.0021652,9.9291e-05
66.307,-166.68,16.647,14.505,7.5752,0.00055833,0,8.5089e-05,0.0021739,9.9688e-05
66.312,-166.67,16.356,19.546,1.0795,0.00076199,0,0.00011613,0.0029669,0.00013605
66.317,-166.65,16.1,14.508,1.0684,0.00056267,0,8.575e-05,0.0021908,0.00010046
66.322,-166.63,15.858,19.244,0.64804,0.00076134,0,0.00011603,0.0029644,0.00013594
66.327,-166.62,15.611,23.075,0.91759,0.00090438,0,0.00013783,0.0035213,0.00016148
66.332,-166.6,15.369,39.272,0.5939,0.0015346,0,0.00023387,0.0059751,0.000274
66.337,-166.58,15.175,23.312,0.42318,0.00090713,0,0.00013825,0.003532,0.00016197
66.342,-166.57,15.011,41.193,0.044361,0.0015935,0,0.00024284,0.0062043,0.00028451
66.347,-166.55,14.893,27.906,12.586,0.0010779,0,0.00016428,0.0041971,0.00019246
66.352,-166.53,14.842,57.956,0.52196,0.0022274,0,0.00033946,0.0086727,0.0003977
66.357,-166.52,14.81,46.717,11.161,0.001793,0,0.00027326,0.0069814,0.00032014
66.362,-166.5,14.816,29.751,4.9549,0.001139,0,0.00017358,0.0044346,0.00020336
66.367,-166.48,14.879,36.795,20.207,0.0014252,0,0.00021719,0.0055491,0.00025446
66.372,-166.47,14.944,62.229,6.8948,0.0023912,0,0.00036442,0.0093105,0.00042695
66.377,-166.45,15.09,22.553,5.1214,0.00086478,0,0.00013179,0.0033671,0.00015441
66.382,-166.43,15.231,34.686,7.3376,0.00049016,0.11176,7.47e-05,0.0019085,8.7517e-05
66.387,-166.42,15.402,58.474,1.6806,0,0.29746,0,0,0
66.392,-166.4,15.66,112.38,5.0939,0,0.57168,0,0,0
66.397,-166.39,15.87,150.04,5.7715,0,0.76328,0,0,0
66.402,-166.37,16.059,119.98,0.01066,0,0.61037,0,0,0
66.407,-166.35,15.847,117.77,6.433,0,0.59911,0,0,0
66.412,-166.34,16.101,147.55,0.61061,0,0.75061,0,0,0
66.417,-166.32,16.279,151.01,12.328,0,0.76821,0,0,0
66.421,-166.3,16.566,147.32,1.9284,0,0.74942,0,0,0
66.426,-166.28,16.723,221.65,12.249,0,1.1275,0,0,0
66.43,-166.27,16.811,170.07,6.3064,0,0.86517,0,0,0
66.435,-166.25,16.799,89.387,3.8609,0,0.45472,0,0,0
66.44,-166.23,16.982,60.088,1.2795,0,0.30567,0,0,0
66.444,-166.21,17.156,125.91,3.08,0,0.64053,0,0,0
66.449,-166.2,17.231,153.35,0.71569,0,0.78011,0,0,0
66.453,-166.18,17.042,187.25,1.1594,0,0.95256,0,0,0
66.458,-166.16,16.776,272.08,0.01788,0,1.3841,0,0,0
66.463,-166.15,16.818,229.88,12.2,0,1.1694,0,0,0
66.467,-166.13,16.961,207.47,1.6013,0,1.0554,0,0,0
66.472,-166.11,16.97,314.99,0.68371,0,1.6023,0,0,0
66.476,-166.09,17.233,112.91,3.4566,0,0.57436,0,0,0
66.481,-166.08,17.101,102.67,0.14196,0,0.52229,0,0,0
66.485,-166.06,17.044,87.964,2.8549,0,0.44748,0,0,0
66.49,-166.04,17.053,103.23,7.9942,0,0.52514,0,0,0
66.494,-166.02,17.147,149.14,0.78301,0,0.75866,0,0,0
66.498,-166.01,17.226,139.79,1.5455,0,0.71113,0,0,0
66.5,-166.07,17.98,146.42,0.62831,0,0.74484,0,0,0
66.5,-166.09,18.026,144.14,1.7066,0,0.73326,0,0,0
66.5,-166.11,18.157,130.33,5.9404,0,0.66298,0,0,0
66.5,-166.13,18.263,174.9,0.11548,0,0.8897,0,0,0
66.5,-166.16,18.276,324.28,3.9998,0,1.6496,0,0,0
66.5,-166.18,18.307,263.39,2.1119,0,1.3399,0,0,0
66.5,-166.2,18.184,215.54,0.048017,0,1.0965,0,0,0
66.5,-166.22,17.911,223.33,24.484,0,1.1361,0,0,0
66.5,-166.24,17.595,264.85,4.5968,0,1.3473,0,0,0
66.5,-166.26,17.343,104.44,6.8293,0,0.53131,0,0,0
66.5,-166.28,17.033,35.119,53.861,0,0.17865,0,0,0
66.5,-166.3,16.725,46.959,2.5819,0,0.23888,0,0,0
66.499,-166.32,16.394,35.145,9.8735,0,0.17879,0,0,0
66.499,-166.34,16.094,30.949,6.8408,0,0.15744,0,0,0
66.499,-166.36,15.773,130.01,8.3953,0,0.66135,0,0,0
66.5,-166.38,15.448,83.393,3.0451,0,0.42422,0,0,0
66.5,-166.4,15.334,116.27,4.3248,0,0.59149,0,0,0
66.5,-166.43,15.566,89.503,1.6974,0,0.45531,0,0,0
66.5,-166.45,15.942,289.72,5.4553,0,1.4738,0,0,0
66.5,-166.47,16.341,198.25,14.508,0,1.0085,0,0,0
66.5,-166.49,16.789,63.512,4.2594,0,0.32309,0,0,0
66.5,-166.51,17.254,60.006,3.8418,0,0.30525,0,0,0
66.5,-166.53,17.778,48.004,8.9899,0,0.2442,0,0,0
66.5,-166.55,18.397,55.815,13.969,0,0.28393,0,0,0
66.5,-166.57,19.194,87.784,4.9097,0,0.44656,0,0,0
66.5,-166.59,20.05,89.539,29.735,0,0.45549,0,0,0
66.501,-166.61,21.096,75.698,15.356,0,0.38508,0,0,0
66.502,-166.63,22.073,43.427,1.8356,0,0.22091,0,0,0
66.501,-166.64,22.436,30.159,0.87348,0,0.15342,0,0,0
66.5,-166.66,23.332,30.373,0.12303,0,0.15451,0,0,0
