,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Unnamed: 0,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
72,os1901l2c061_ctd,71.0,191.5,2019-09-05 20:19:39+00:00,14.720610157653457,2019,42.557733558476166,32.6491,31.4211,31.43085454545455,32.63628333333333,32.132161363636364,1.3541,8.7344,8.721763636363637,1.6116000000000001,5.3328545454545475,0.0,,,,,,,,528.9515055081966,0.4113988126871569,0.8059451082188616,0.010807324326357224
73,os1901l2c062_ctd,71.75,191.51,2019-09-06 14:59:10+00:00,15.104074821793093,2019,44.535081674045436,32.6593,30.9492,30.949736363636365,32.64976666666667,31.981015217391313,1.9846,8.2816,8.258,2.1114,5.069784782608697,0.0,,,,,,,,904.8618913809522,0.8735164988504623,1.0334561394850876,0.20915183775294854
74,os1901l2c063_ctd,71.75,193.11,2019-09-06 20:55:37+00:00,14.914382240138417,2019,42.55594926578966,32.2331,30.1494,30.151127272727273,32.2106,31.19373720930233,4.4328,9.1699,9.160072727272727,4.716433333333334,7.968609302325581,0.0,,,,,,,,359.2694939344263,0.1246187397716599,0.5426414575523009,0.03446862515087649
75,os1901l2c064_ctd,71.76,194.69,2019-09-07 15:00:29+00:00,14.914382240138417,2019,36.61843420130352,32.384,31.0518,31.057018181818183,32.32625000000001,31.584878947368427,1.8001,7.8087,7.723981818181818,2.2394166666666666,5.718694736842105,0.0,,,,,,,,448.2427787540984,0.008378165447843883,0.5932180163097898,0.0291552174090683
76,os1901l2c065_ctd,71.75,196.31,2019-09-07 21:19:07+00:00,15.29178699065109,2019,35.628844018490625,32.3239,30.6792,30.741345454545456,32.321600000000004,31.47094594594594,0.1628,7.0704,6.9936727272727275,0.18513333333333334,4.340175675675676,0.0,,,,,,,,102.0361055,0.35949031048216046,0.05045184155819442,0.020430249187666574
77,os1901l2c066_ctd,71.75,198.01,2019-09-08 14:58:27+00:00,15.009679835528576,2019,38.59762948803112,32.3904,29.5341,29.536627272727273,32.38616666666667,30.914625,-0.0889,6.0207,6.010963636363636,-0.08708333333333333,3.17231,0.0,,,,,,,,249.41227728333334,1.6225982229249307,0.020303762762633005,0.026390450050207844
78,os1901l2c067_ctd,71.75,199.6,2019-09-08 20:41:12+00:00,15.009679835528576,2019,43.54551685387053,32.3172,29.6317,29.635027272727278,32.307116666666666,30.98463720930232,-0.856,5.915,5.892190909090909,-0.3780666666666667,2.343272093023257,0.0,,,,,,,,127.4898602295082,0.9129144155578482,0.0,0.0038134041674530317
79,os1901l2c068_ctd,71.75,201.2,2019-09-09 14:56:54+00:00,15.104074821792818,2019,49.48281704305188,32.4245,29.7051,29.720909090909092,32.42235,31.268311764705892,-1.3903,5.1935,5.156636363636364,-1.0149166666666667,1.3277098039215687,0.0,,,,,,,,81.77608293442621,0.5394460039592652,0.0004464578622436521,0.005155085409053024
80,os1901l2c069_ctd,71.75,202.8,2019-09-09 19:22:18+00:00,15.104074821793093,2019,60.367433199448804,32.3056,29.6628,29.712654545454544,32.3039,31.203780327868852,-1.4152,6.5237,6.353136363636364,-1.4079166666666667,1.8040672131147537,0.0,,,,,,,,74.99643769662921,0.47185448525607593,0.0029244093928072483,0.000731102348201572
81,os1901l2c070_ctd,70.25,195.91,2019-09-10 16:01:57+00:00,14.26001181194804,2019,32.66279381357066,32.1718,29.8567,29.976981818181823,32.17113333333333,31.049703030303032,7.8022,10.6983,10.622036363636362,7.803733333333334,9.530160606060605,0.0,,,,,,,,186.11970333333335,0.0001760728956822845,0.1585200616501037,0.0
82,os1901l2c071_ctd,70.25,194.51,2019-09-10 21:38:41+00:00,14.26001181194804,2019,39.590599347451075,32.18,30.3454,30.35284545454546,32.162,31.248597560975607,5.9596,10.6604,10.645881818181818,6.015999999999999,8.596590243902444,0.0,,,,,,,,285.4741700000001,0.004425565475821625,0.23479600188577443,0.0006146027614718621
83,os1901l2c072_ctd,70.25,193.0,2019-09-11 14:57:48+00:00,15.278534267402092,2019,40.580268636514965,32.6852,30.675,30.78164545454546,32.37205,31.599721951219518,4.3923,9.9202,9.857836363636363,5.685716666666667,8.138031707317072,0.0,,,,,,,,233.5624933809524,0.012683432488167602,0.06455002211828445,0.00945843104446356
