,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
90,66.169,-167.38,23.994,26.044,2.1171,2.3947e-06,6.3037e-06,3.1517000000000002e-06,0.0056351000000000005,6.687920000000001e-05
91,66.176,-167.37,24.173000000000002,12.308,1.4275,1.1359e-06,2.9901999999999998e-06,1.495e-06,0.002673,3.17249e-05
92,66.183,-167.36,24.364,11.139000000000001,1.183,1.0463e-06,2.7541000000000004e-06,1.377e-06,0.0024621,2.92211e-05
93,66.19,-167.35,24.628,23.63,0.007692,2.1869e-06,5.7568e-06,2.8783e-06,0.0051463,6.10781e-05
94,66.196,-167.34,24.818,47.998999999999995,2.2398,4.535e-06,1.1938e-05,5.9686e-06,0.010672,0.000126657
95,66.202,-167.32,25.125999999999998,68.884,1.4484,6.181000000000001e-06,1.6271e-05,8.1349e-06,0.014544999999999999,0.000172626
96,66.207,-167.31,25.421,20.793000000000003,0.7491800000000001,1.9436000000000003e-06,5.1162e-06,2.558e-06,0.004573600000000001,5.42816e-05
97,66.211,-167.29,25.656,28.488000000000003,0.34076999999999996,2.7025e-06,7.114e-06,3.5568e-06,0.0063595,7.54779e-05
98,66.21600000000001,-167.27,25.829,91.835,0.40104,8.6958e-06,2.2890999999999998e-05,1.1445e-05,0.020463,0.000242864
99,66.22,-167.25,26.041,203.13,2.1123,1.8784000000000002e-05,4.9446e-05,2.4721999999999998e-05,0.044202,0.000524608
100,66.22399999999999,-167.23,26.138,42.718,0.18835,3.8652e-06,1.0175e-05,5.0871e-06,0.0090956,0.00010795
101,66.22800000000001,-167.22,26.146,19.105,2.8843,1.763e-06,4.641e-06,2.3204e-06,0.0041488,4.92395e-05
102,66.23100000000001,-167.2,26.076,20.087,3.542,1.8609e-06,4.8983999999999996e-06,2.4491e-06,0.004379,5.19701e-05
103,66.235,-167.18,25.916999999999998,96.50299999999999,0.21111,8.5966e-06,2.2629e-05,1.1314e-05,0.020229,0.00024008600000000003
104,66.23899999999999,-167.16,25.704,16.101,5.4849,1.4882e-06,3.9174e-06,1.9586e-06,0.0035018999999999996,4.15629e-05
105,66.242,-167.14,25.461,17.267,0.98477,1.6025e-06,4.2183e-06,2.1091e-06,0.003771,4.4755699999999996e-05
106,66.24600000000001,-167.12,25.158,27.964000000000002,1.5676,2.5995e-06,6.842899999999999e-06,3.4212999999999998e-06,0.0061172,7.260139999999999e-05
107,66.25,-167.11,24.811,344.57,1.5262,3.2582e-05,8.5768e-05,4.2882e-05,0.076672,0.0009099799999999999
108,66.25399999999999,-167.09,24.39,115.14,2.4986,1.0858e-05,2.8582e-05,1.429e-05,0.025551,0.000303241
109,66.258,-167.07,24.006999999999998,24.808000000000003,0.057633000000000004,2.2853999999999998e-06,6.0160000000000005e-06,3.0078e-06,0.005378,6.38279e-05
110,66.262,-167.05,23.601999999999997,16.14,0.0403,1.4908000000000002e-06,3.9242000000000005e-06,1.962e-06,0.003508,4.16349e-05
111,66.266,-167.03,23.174,25.924,2.8966,2.3591e-06,6.21e-06,3.1048000000000003e-06,0.0055514,6.5886e-05
112,66.271,-167.02,22.753,11.349,1.1373,1.0477e-06,2.758e-06,1.3788999999999998e-06,0.0024655000000000002,2.9261599999999998e-05
113,66.275,-167.0,22.394000000000002,26.034000000000002,4.2816,2.4019e-06,6.3227e-06,3.1612e-06,0.0056521,6.708119999999999e-05
