Interval,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12,13
20170809154856,70.5010067,-161.73532419999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0002875259710744703,0.0004312889566108264,9.584199035810915e-05,9.584199035810915e-05,4.792099517905749e-05,0.0,0.0
20170809155208,70.5008959,-161.7102987,0.0,0.0,0.0,0.0,0.0,0.0,0.00026872124540424454,0.0004030818681059295,8.95737484681204e-05,8.95737484681204e-05,4.478687423403105e-05,0.0,0.0
20170809155521,70.5008724,-161.6853007,0.0,0.0,0.0,0.0,0.0,0.0,0.0009021252075923407,0.0013531878113914558,0.0003007084025308726,0.0003007084025308726,0.00015035420126558645,0.0,0.0
20170809155836,70.50094240000001,-161.6604135,0.0,0.0,0.0,0.0,0.0,0.0,0.0005033683839911554,0.0007550525759859169,0.00016778946133018591,0.00016778946133018591,8.389473066528393e-05,0.0,0.0
20170809160151,70.5010144,-161.6353566,0.0,0.0,0.0,0.0,0.0,0.0,0.0011454154228808153,0.001718123134321398,0.0003818051409612456,0.0003818051409612456,0.00019090257048006882,0.0,0.0
20170809160508,70.50105909999999,-161.6104447,0.0,0.0,0.0,0.0,0.0,0.0,0.00014823333157621904,0.00022234999736462014,4.941111052530333e-05,4.941111052530333e-05,2.4705555262712893e-05,0.0,0.0
20170809160823,70.5011679,-161.5855244,0.0,0.0,0.0,0.0,0.0,0.0,0.0008882783464108616,0.0013324175196157094,0.00029609278213678863,0.00029609278213678863,0.0001480463910685547,0.0,0.0
20170809161138,70.5012271,-161.560354,0.0,0.0,0.0,0.0,0.0,0.0,0.00043690997339056723,0.0006553649600872212,0.00014563665779686547,0.00014563665779686547,7.281832889856392e-05,0.0,0.0
20170809161454,70.5012917,-161.5354033,0.0,0.0,0.0,0.0,0.0,0.0,0.0003681684859261222,0.0005522527288888784,0.00012272282864213808,0.00012272282864213808,6.136141432098157e-05,0.0,0.0
20170809161807,70.50131,-161.5103457,0.0,0.0,0.0,0.0,0.0,0.0,0.0005630985670732241,0.000844647850608361,0.00018769952235734877,0.00018769952235734877,9.384976117879071e-05,0.0,0.0
