Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,3,1997,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,7,#NUM!,#NUM!,#NUM!,#NUM!
,3,1997,8,1.09,0.21,1.22,0.24
,3,1997,9,0.63,0.2,0.71,0.22
,3,1997,10,0.74,0.18,0.83,0.2
,3,1997,11,0.74,0.59,0.82,0.66
,3,1997,12,0.43,0.14,0.48,0.16
,3,1998,1,0.45,0.28,0.5,0.31
,3,1998,2,0.73,0.1,0.82,0.11
,3,1998,3,1.08,0.24,1.21,0.27
,3,1998,4,0.88,0.12,0.98,0.13
,3,1998,5,0.89,0.11,1,0.13
,3,1998,6,1.1,0.14,1.23,0.16
,3,1998,7,1.03,0.08,1.15,0.09
,3,1998,8,0.66,0.11,0.72,0.13
,3,1998,9,1.19,0.2,1.31,0.23
,3,1998,10,0.92,0.28,1.02,0.31
,3,1998,11,0.71,0.61,0.78,0.67
,3,1998,12,0.89,0.51,0.99,0.56
,3,1999,1,0.36,0.29,0.4,0.32
,3,1999,2,0.82,0.11,0.9,0.13
,3,1999,3,0.48,0.18,0.53,0.2
,3,1999,4,0.83,0.18,0.92,0.2
,3,1999,5,1.46,0.07,1.61,0.08
,3,1999,6,#NUM!,#NUM!,#NUM!,#NUM!
,3,1999,7,1.45,0.12,1.58,0.13
,3,1999,8,1.32,0.16,1.44,0.17
,3,1999,9,0.51,0.14,0.56,0.15
,3,1999,10,0.56,0.37,0.61,0.4
,3,1999,11,0.74,0.18,0.8,0.2
,3,1999,12,0.25,0.21,0.27,0.22
,3,2000,1,0.07,0.33,0.08,0.36
,3,2000,2,0.75,0.3,0.82,0.32
,3,2000,3,0.54,0.31,0.67,0.31
,3,2000,4,0.19,0.14,0.85,0.23
,3,2000,5,0.92,0.16,1,0.18
,3,2000,6,1.01,0.12,1.1,0.13
,3,2000,7,0.93,0.21,1.01,0.23
,3,2000,8,1.23,0.14,1.34,0.16
,3,2000,9,0.56,0.12,0.62,0.13
,3,2000,10,0.4,0.27,0.44,0.3
,3,2000,11,0.77,0.45,0.85,0.5
,3,2000,12,0.84,0.31,0.92,0.34
,3,2001,1,0.07,0.29,0.07,0.32
,3,2001,2,0.89,0.31,0.98,0.34
,3,2001,3,0.31,0.26,0.34,0.29
,3,2001,4,0.6,0.2,0.66,0.22
,3,2001,5,0.88,0.26,0.97,0.28
,3,2001,6,0.93,0.13,1.02,0.14
,3,2001,7,1,0.09,1.1,0.1
,3,2001,8,0.5,0.1,0.61,0.1
,3,2001,9,0.85,0.18,0.97,0.17
,3,2001,10,0.54,0.2,0.59,0.21
,3,2001,11,0.88,0.32,0.96,0.35
,3,2001,12,0.01,0.14,0.01,0.15
,3,2002,1,0.06,0.53,0.07,0.58
,3,2002,2,0.61,0.45,0.66,0.49
,3,2002,3,1.42,0.17,1.54,0.19
,3,2002,4,0.99,0.21,1.08,0.23
,3,2002,5,1.35,0.16,1.47,0.18
,3,2002,6,0.98,0.2,1.07,0.21
,3,2002,7,1.1,0.19,1.2,0.2
,3,2002,8,0.95,0.16,1.03,0.18
,3,2002,9,0.95,0.19,1.04,0.21
,3,2002,10,0.47,0.32,0.52,0.35
,3,2002,11,0.5,0.15,0.54,0.17
,3,2002,12,0.57,0.29,0.62,0.31
,3,2003,1,0.85,0.35,0.93,0.38
,3,2003,2,0.5,0.17,0.54,0.18
,3,2003,3,0.84,0.28,0.92,0.31
,3,2003,4,1.37,0.21,1.49,0.23
,3,2003,5,1.22,0.14,1.33,0.15
,3,2003,6,1.45,0.12,1.58,0.13
,3,2003,7,0.75,0.2,0.81,0.22
,3,2003,8,0.78,0.15,0.85,0.17
,3,2003,9,0.75,0.14,0.82,0.15
,3,2003,10,0.61,0.29,0.67,0.32
,3,2003,11,0.54,0.29,0.59,0.32
,3,2003,12,1,0.48,1.09,0.52
,3,2004,1,1.04,0.35,1.14,0.38
,3,2004,2,0.51,0.32,0.55,0.35
,3,2004,3,0.71,0.19,0.77,0.21
,3,2004,4,1.22,0.22,1.32,0.24
,3,2004,5,1.42,0.16,1.55,0.17
,3,2004,6,1.33,0.04,1.45,0.05
,3,2004,7,1.1,0.07,1.2,0.07
,3,2004,8,1.27,0.08,1.39,0.08
,3,2004,9,0.85,0.17,0.93,0.18
,3,2004,10,0.98,0.56,1.06,0.61
,3,2004,11,1.02,0.52,1.11,0.57
,3,2004,12,0.08,0.62,0.09,0.67
,3,2005,1,0.88,0.21,0.96,0.23
,3,2005,2,0.49,0.14,0.53,0.15
,3,2005,3,0.91,0.35,1,0.38
,3,2005,4,0.98,0.24,1.07,0.27
,3,2005,5,0.84,0.43,0.92,0.46
,3,2005,6,1.51,0.12,1.65,0.14
,3,2005,7,1.04,0.08,1.14,0.09
,3,2005,8,1.22,0.22,1.34,0.25
,3,2005,9,0.81,0.23,0.89,0.25
,3,2005,10,0.5,0.21,0.54,0.23
,3,2005,11,-0.23,0.45,-0.25,0.5
,3,2005,12,-0.38,0.2,-0.41,0.22
,3,2006,1,0.11,0.14,0.12,0.16
,3,2006,2,1.08,0.52,1.19,0.57
,3,2006,3,1.16,0.18,1.27,0.2
,3,2006,4,0.32,0.16,0.35,0.18
,3,2006,5,1.21,0.29,1.33,0.32
,3,2006,6,0.93,0.15,1.02,0.16
,3,2006,7,1.11,0.07,1.22,0.08
,3,2006,8,1.18,0.1,1.28,0.11
,3,2006,9,0.76,0.18,0.83,0.2
,3,2006,10,1.03,0.24,1.12,0.26
,3,2006,11,0.85,0.56,0.93,0.61
,3,2006,12,0.31,0.36,0.34,0.39
,3,2007,1,0.77,0.32,0.83,0.35
,3,2007,2,1.42,0.44,1.55,0.48
