SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
201901,211,Marinovich,04-SEP-19 09.54.03.504000000 PM,-165.3609,71.0068,04-SEP-19 10.10.34.977000000 PM,-165.3927,71.0084,41,27.31,8,8,17,31,2019,64,1169.226117,74830.47147
201901,217,Marinovich,05-SEP-19 04.13.10.540000000 PM,-166.9512,71.0111,05-SEP-19 04.30.01.560000000 PM,-166.9881,71.0142,45,17.38,8,7.09,16,23,2019,56.72,1384.397226,78523.01068
201901,223,Marinovich,05-SEP-19 09.35.46.751000000 PM,-168.4888,71.0019,05-SEP-19 09.53.15.867000000 PM,-168.5122,71.0099,47,34.11,8,7,30,37,2019,56,1232.817435,69037.77639
201901,229,Marinovich,06-SEP-19 05.32.55.765000000 PM,-167.9944,71.7393,06-SEP-19 05.55.08.318000000 PM,-167.9885,71.7542,50,30.47,8.4,7.28,18,36,2019,61.152,1675.346416,102450.784
201901,235,Marinovich,06-SEP-19 11.21.01.050000000 PM,-166.5024,71.7387,06-SEP-19 11.37.13.398000000 PM,-166.4736,71.7451,45,33.19,8.26,7.27,30,35,2019,60.0502,1234.909363,74156.55424
201901,241,Marinovich,07-SEP-19 05.51.29.952000000 PM,-164.8855,71.7503,07-SEP-19 06.07.47.698000000 PM,-164.9221,71.75,40,17.8,8.05,7.35,17,20,2019,59.1675,1280.218212,75747.31109
201901,247,Marinovich,07-SEP-19 11.51.16.152000000 PM,-163.1057,71.7482,08-SEP-19 12.08.18.248000000 AM,-163.1421,71.7467,41.5,29.78,7.91,7.54,27,31,2019,59.6414,1283.925329,76575.10415
201901,253,Marinovich,08-SEP-19 06.20.48.479000000 PM,-161.0908,71.7497,08-SEP-19 06.33.34.033000000 PM,-161.1232,71.7496,44,16.48,7.84,7.2,14,20,2019,56.448,1133.005345,63955.88572
201901,259,Marinovich,09-SEP-19 12.18.12.180000000 AM,-159.3706,71.7507,09-SEP-19 12.37.31.525000000 AM,-159.4145,71.7512,52,28.23,7.71,7.67,16,34,2019,59.1357,1535.985881,90831.60026
201901,270,Marinovich,09-SEP-19 08.35.25.818000000 PM,-157.2807,71.7444,09-SEP-19 09.05.54.149000000 PM,-157.3136,71.7636,64,17.44,7.74,7.42,16,21,2019,57.4308,2431.619052,139649.8274
201901,276,Marinovich,10-SEP-19 06.22.59.322000000 PM,-164.5348,70.249,10-SEP-19 06.38.41.672000000 PM,-164.5643,70.2485,40,23.54,7.5,7.52,22,24.5,2019,56.4,1114.462572,62855.68906
201901,282,Marinovich,10-SEP-19 11.42.27.738000000 PM,-165.5403,70.2496,10-SEP-19 11.58.04.674000000 PM,-165.5093,70.2491,43.8,27.86,7.57,7.5,24,31,2019,56.775,1170.957566,66481.11583
201901,288,Marinovich,11-SEP-19 05.02.42.020000000 PM,-167.3228,70.2508,11-SEP-19 05.28.42.066000000 PM,-167.2662,70.252,49.7,23.97,7.76,7.8,16,33,2019,60.528,2139.494664,129499.333
201901,289,Marinovich,11-SEP-19 08.16.45.144000000 PM,-167.9687,70.25,11-SEP-19 08.38.52.969000000 PM,-167.9228,70.2499,47.7,26.91,7.84,7.56,15,37.5,2019,59.2704,1731.789652,102643.8654
201901,305,Marinovich,17-SEP-19 10.14.55.704000000 PM,-167.1001,69.511,17-SEP-19 10.36.05.076000000 PM,-167.1008,69.4954,46,22.37,7.67,7.78,19,24,2019,59.6726,1740.483759,103859.1911
201901,306,Marinovich,18-SEP-19 02.16.01.823000000 AM,-165.9096,69.4998,18-SEP-19 02.38.22.784000000 AM,-165.9093,69.4841,37,24.04,8,8,16,29,2019,64,1751.461205,112093.5171
201901,312,Marinovich,18-SEP-19 07.00.30.126000000 PM,-165.1515,69.5002,18-SEP-19 07.26.11.047000000 PM,-165.1986,69.497,33,22.52,7.29,7.66,21,23,2019,55.8414,1876.00269,104758.6166
201901,318,Marinovich,18-SEP-19 11.34.05.190000000 PM,-164.2281,69.4959,18-SEP-19 11.51.40.593000000 PM,-164.2697,69.4967,23,13.27,7.4,7.5,11,15,2019,55.5,1629.282547,90425.18138
201901,326,Marinovich,19-SEP-19 09.06.34.412000000 PM,-167.6728,68.7638,19-SEP-19 09.25.45.801000000 PM,-167.679,68.7547,49,28.44,7.08,7.75,16,38,2019,54.87,1045.586379,57371.32461
201901,333,Marinovich,20-SEP-19 02.17.17.120000000 AM,-168.4514,68.7425,20-SEP-19 02.36.38.368000000 AM,-168.4485,68.7565,52,32.33,8,7.5,26,40,2019,60,1566.044221,93962.65324
201901,339,Marinovich,20-SEP-19 07.45.43.164000000 PM,-168.0053,68.0082,20-SEP-19 08.02.39.707000000 PM,-168.0031,67.9986,54,37.4,7.43,7.59,28,46,2019,56.3937,1074.687902,60605.62715
201901,346,Marinovich,21-SEP-19 02.42.43.528000000 AM,-167.0002,68.0146,21-SEP-19 03.01.35.808000000 AM,-167.005,68.0302,53,23.64,7,7,16,28,2019,49,1751.481502,85822.59358
201901,353,Marinovich,21-SEP-19 05.53.36.034000000 PM,-165.8379,68.0076,21-SEP-19 06.14.22.771000000 PM,-165.882,68.0117,27,14.8,7.5,,13.5,18,2019,55.86796875,1899.431139,106117.3595
201901,361,Marinovich,22-SEP-19 01.57.34.013000000 AM,-164.9367,67.5833,22-SEP-19 02.18.46.411000000 AM,-164.9596,67.5981,36.5,22.66,6.92,,16,27,2019,51.5475125,1916.894727,98811.15489
201901,372,Marinovich,22-SEP-19 10.26.48.432000000 PM,-167.2318,67.246,22-SEP-19 10.49.09.595000000 PM,-167.2719,67.2491,42.5,30.13,7,,21,34,2019,52.1434375,1765.536185,92061.1257
201901,373,Marinovich,23-SEP-19 02.25.15.891000000 AM,-166.3609,67.2607,23-SEP-19 02.45.43.970000000 AM,-166.3864,67.2723,40,31.63,6.76,,26,34,2019,50.3556625,1698.208528,85514.41547
201901,386,Marinovich,23-SEP-19 11.18.28.815000000 PM,-164.7352,67.2194,23-SEP-19 11.38.58.454000000 PM,-164.708,67.2102,31,23.25,7,,20,24,2019,52.1434375,1560.664391,81378.40613
