Interval,Latitude,Longitude,Capelin (No. m^-2),Pollock (No. m^-2),Arctic cod (No. m^-2),Pacific cod (No. m^-2),Saffron cod (No. m^-2)
20170809150059,70.50114350000003,-162.110102,9.857318151013818e-05,0.0012794798959990831,0.0005176494109219902,0.0,0.0
20170809150410,70.5011482,-162.0850271,0.00014961372646491854,0.0019419861695108669,0.000785684870711947,0.0,0.0
20170809150722,70.50119190000002,-162.05997040000003,0.0004790056244809651,0.00621749300575573,0.002515460853982022,0.0,0.0
20170809151032,70.5012822,-162.0350788,0.0004085303624668883,0.005302724104807802,0.0021453654861790152,0.0,0.0
20170809151340,70.5014458,-162.01026940000003,0.0003436548866766563,0.004460640429057111,0.0018046769610504147,0.0,0.0
20170809151649,70.5015857,-161.98536409999997,0.0003982374827386831,0.0051691225259376935,0.0020913132272752256,0.0,0.0
20170809152001,70.5014067,-161.9602735,0.0014471205668997395,0.018783624958318132,0.007599441323840869,0.0,0.0
20170809152314,70.50131479999997,-161.9352405,0.0005242952889905346,0.0068053528510902935,0.002753296011530145,0.0,0.0
20170809152627,70.5012717,-161.9102767,0.001280642763494634,0.01662274307013782,0.006725196062149334,0.0,0.0
20170809152941,70.5013283,-161.8853373,0.0007492896163125325,0.009725779219710523,0.003934836256193524,0.0,0.0
20170809153256,70.5013433,-161.8603617,0.0005140199902089119,0.006671979472899941,0.0026993360776001443,0.0,0.0
20170809153608,70.5012804,-161.8352767,0.0009855826318536582,0.012792862561441952,0.005175710684976298,0.0,0.0
20170809153921,70.5013767,-161.8103175,0.00019562561115650875,0.002539220432807682,0.0010273127114822386,0.0,0.0
20170809154234,70.50130290000001,-161.7852693,0.0035276265773977263,0.04578859297453865,0.018525057137935667,0.0,0.0
20170809154546,70.50112779999998,-161.7603834,0.0004485750446333133,0.0058225040793320445,0.0023556570260979412,0.0,0.0
20170809154856,70.5010067,-161.73532419999995,0.00022184402556335047,0.002879535451808331,0.0011649966795266432,0.0,0.0
20170809155208,70.5008959,-161.7102987,0.00020733503105184575,0.002691208703045041,0.0010888038211136898,0.0,0.0
20170809155521,70.5008724,-161.6853007,0.0006960450831491341,0.009034665179258342,0.0036552267234128324,0.0,0.0
20170809155836,70.50094240000001,-161.6604135,0.0003881164631316539,0.0050377516914390606,0.0020381634784573687,0.0,0.0
20170809160151,70.5010144,-161.6353566,0.0008837586314356042,0.011471187035995178,0.004640989850905223,0.0,0.0
20170809160508,70.50105909999998,-161.6104447,0.00011437131802649753,0.0014845397079808064,0.0006006120985009929,0.0,0.0
20170809160823,70.5011679,-161.5855244,0.0006822413648641041,0.008855492915918344,0.0035827375683560657,0.0,0.0
20170809161138,70.5012271,-161.560354,0.0003371029265867733,0.004375595987087685,0.0017702698512359388,0.0,0.0
20170809161454,70.5012917,-161.5354033,0.00028353378290634976,0.003680268502121045,0.0014889556515233727,0.0,0.0
20170809161807,70.50131,-161.5103457,0.00043420211135915645,0.005635943405428724,0.0022801786827086837,0.0,0.0
20170809162120,70.5012665,-161.48541569999998,0.0008927296278311579,0.01158763056922847,0.004688100342101079,0.0,0.0
20170809162435,70.5011813,-161.4603206,0.00031460173575996296,0.004083530530160175,0.0016521065942739746,0.0,0.0
20170809162749,70.5012628,-161.43545759999995,0.0004133842324510733,0.005365727337200933,0.0021708552076184218,0.0,0.0
20170809163103,70.5012155,-161.4103197,0.0008930240449843435,0.011591452103879876,0.004689646450925819,0.0,0.0
20170809163419,70.501191,-161.3853264,0.00021784079310894241,0.002827573494551801,0.0011439740150428058,0.0,0.0
20170809163733,70.5010892,-161.36024740000005,0.0004299396236445358,0.005580616314890027,0.0022577945593541216,0.0,0.0
20170809164047,70.5012407,-161.33658880000004,0.0007319430825311933,0.009500621211232152,0.0038437422805729675,0.0,0.0
20170809164425,70.50100520000002,-161.3119878,0.00025288242204382687,0.0032824138381180937,0.001327992409274673,0.0,0.0
20170809164932,70.50091579999999,-161.2871633,0.00042292992195735736,0.005489630386999943,0.002220983655073485,0.0,0.0
20170809165451,70.5010033,-161.26232240000004,0.0006532543335934979,0.008479241250030495,0.003430514423767522,0.0,0.0
20170809170019,70.5008868,-161.237378,0.0003324595183664705,0.004315324548391089,0.0017458853534161431,0.0,0.0
20170809170549,70.50075079999998,-161.2123238,0.0006195385373342228,0.008041610214586764,0.0032534585369140873,0.0,0.0
20170809171127,70.50059830000002,-161.1872392,0.0004605265210370705,0.005977634243045567,0.0024184192766929344,0.0,0.0
20170809171706,70.5005847,-161.1622042,0.001370064425413685,0.01778343624183884,0.007194786978324657,0.0,0.0
