,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
21,os1701l2c083_ctd,71.507835,191.49833999999998,2017-09-04 14:24:54+00:00,42.556521017802616,32.5272,32.2264,32.226400000000005,32.51243333333333,32.30715227272728,0.8238,6.0729,6.0154,1.0695333333333332,4.470911363636365,29.0,5,5.0
22,os1701l2c084_ctd,71.51017,191.48117,2017-09-04 14:54:08+00:00,42.556515492799356,32.5261,32.2144,32.214400000000005,32.5195,32.299243181818184,0.5797,5.9910000000000005,5.9881,1.1061333333333332,4.333684090909092,27.0,5,5.0
23,os1701l2c085_ctd,71.5,193.07183999999998,2017-09-04 21:05:12+00:00,41.566953446460275,32.6784,32.2042,32.2083,32.66896666666667,32.337346511627906,3.8884,6.1889,6.1847,3.9221166666666667,5.536727906976744,29.0,5,5.0
24,os1701l2c086_ctd,71.50533,193.06117,2017-09-04 21:38:02+00:00,40.57735050268883,32.6804,32.1963,32.1988,32.67444999999999,32.32465238095238,3.8810000000000002,6.1969,6.1969,3.9301666666666666,5.556309523809526,29.0,5,5.0
25,os1701l2c087_ctd,71.5005,194.59534,2017-09-05 14:07:58+00:00,37.60855993599708,32.6725,31.9751,31.9818,32.57801666666666,32.07922051282051,2.8558,5.832999999999999,5.8263,3.104866666666666,5.312025641025639,24.0,5,5.0
26,os1701l2c088_ctd,71.4985,196.1915,2017-09-05 20:28:24+00:00,37.608564119957904,32.1873,31.4449,31.4449,32.16376666666667,31.63668974358975,0.6113,5.2412,5.2412,0.6378333333333334,4.234005128205128,28.5,5,5.0
27,os1701l2c089_ctd,71.49916999999999,196.17866999999998,2017-09-05 20:53:36+00:00,37.60856271828784,32.1872,31.4359,31.4359,32.14888333333333,31.624089743589746,0.5981,5.2,5.1995,0.69345,4.23722564102564,27.5,5,5.0
28,os1701l2c090_ctd,71.222,195.7485,2017-09-06 00:24:15+00:00,38.59876699430344,32.3593,31.6892,31.6895,32.3465,31.82934250000001,0.45,5.6197,5.6177,0.45095,4.3289025,17.5,5,5.0
29,os1701l2c091_ctd,71.4985,197.79066,2017-09-06 14:08:49+00:00,38.598169519843054,32.1498,31.1734,31.1756,32.14428333333333,31.5052875,0.4247,5.0438,5.0197,0.4249833333333333,3.3749575000000007,22.0,5,5.0
30,os1701l2c092_ctd,71.50117,199.3905,2017-09-06 20:42:48+00:00,40.577359890674494,32.1764,30.8853,30.8853,32.17516666666666,31.322423809523805,0.5861,5.2732,5.2664,0.5921000000000001,3.5577976190476184,22.0,5,5.0
