StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,17,32.0619,2.3294,,,22.047,,25.59411,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,16,32.0553,2.4071,,,25.165,,25.5829,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,15,32.051,2.4784,,,29.615,,25.57395,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,14,32.0448,2.5259,,,36.187,,25.56529,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,13,32.0427,2.5832,,,41.996,,25.5591,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,12,32.0384,2.6327,,,45.621,,25.55173,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,11,32.0173,3.2239,,,55.589,,25.48561,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,10,31.123,5.7484,,,64.293,,24.52003,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,9,30.9907,6.0514,,,74.138,,24.3801,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,8,30.9221,6.175,,,86.233,,24.31123,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,7,30.8671,6.3631,,,102.19,,24.2451,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,6,30.7254,6.8283,,,129,,24.07558,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,5,30.6424,7.0394,,,175.67,,23.98322,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,2,30.6237,7.081,,,315.35,,23.96309,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,3,30.6241,7.0823,,,249,,23.96325,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,4,30.6246,7.0873,,,197.46,,23.96301,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,1,30.6065,7.1216,,,538.02,,23.94429,,,,,
'2013080101201,2013,CH-C01,12,8/9/2013,67.00,-168.00,66.997,-168.498,39,0,30.6076,7.1389,,,1873.1,,23.94289,0.354,4,0.4,0.02,0.32
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,33,32.2264,1.9722,,,0.043531,,25.75214,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,32,32.2116,2.0035,,,0.06181,,25.73804,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,31,32.2005,2.0325,,,0.06812,,25.72706,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,30,32.1993,2.0362,,,0.083348,,25.72582,0.94,3.4,1.7,0.06,2.01
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,29,32.19875,2.04015,,,0.104244,,25.7251,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,28,32.1982,2.0441,,,0.12514,,25.72437,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,27,32.1955,2.0546,,,0.15098,,25.72144,,,,,
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,26,32.1934,2.06605,,,0.184675,,25.71892,,,,,
