time,pressure,latitude,longitude,S_42,S_41,T_28,T2_35,profile_id
UTC,dbar,degrees_north,degrees_east,PSU,PSU,C,C,
2019-08-07T22:48:13Z,24.0,64.927,190.07784,32.939,32.9403,2.5838,2.5831,os1901l1c003_ctd
2019-08-07T22:48:13Z,25.0,64.927,190.07784,32.9389,32.9402,2.5777,2.5764,os1901l1c003_ctd
2019-08-07T22:48:13Z,26.0,64.927,190.07784,32.9398,32.9403,2.555,2.5538,os1901l1c003_ctd
2019-08-07T22:48:13Z,27.0,64.927,190.07784,32.9396,32.9407,2.5512,2.5501,os1901l1c003_ctd
2019-08-07T22:48:13Z,28.0,64.927,190.07784,32.9395,32.9406,2.5433,2.543,os1901l1c003_ctd
2019-08-07T22:48:13Z,29.0,64.927,190.07784,32.9401,32.9409,2.5404,2.5396,os1901l1c003_ctd
2019-08-07T22:48:13Z,30.0,64.927,190.07784,32.9401,32.941,2.5369,2.5358,os1901l1c003_ctd
2019-08-07T22:48:13Z,31.0,64.927,190.07784,32.9402,32.9411,2.5341,2.5335,os1901l1c003_ctd
2019-08-07T22:48:13Z,32.0,64.927,190.07784,32.9406,32.9411,2.5341,2.5324,os1901l1c003_ctd
2019-08-07T22:48:13Z,33.0,64.927,190.07784,32.9402,32.941,2.5326,2.5319,os1901l1c003_ctd
2019-08-07T22:48:13Z,34.0,64.927,190.07784,32.9401,32.941,2.5311,2.5304,os1901l1c003_ctd
2019-08-07T22:48:13Z,35.0,64.927,190.07784,32.9401,32.9414,2.5279,2.5266,os1901l1c003_ctd
2019-08-07T22:48:13Z,36.0,64.927,190.07784,32.9405,32.9416,2.5214,2.5205,os1901l1c003_ctd
2019-08-07T22:48:13Z,37.0,64.927,190.07784,32.9409,32.9415,2.5249,2.5245,os1901l1c003_ctd
2019-08-07T22:48:13Z,38.0,64.927,190.07784,32.9405,32.9414,2.5225,2.5222,os1901l1c003_ctd
2019-08-07T22:48:13Z,39.0,64.927,190.07784,32.9404,32.9414,2.5184,2.518,os1901l1c003_ctd
2019-08-07T22:48:13Z,40.0,64.927,190.07784,32.9402,32.9414,2.5181,2.5175,os1901l1c003_ctd
2019-08-07T22:48:13Z,41.0,64.927,190.07784,32.9402,32.9414,2.5181,2.5176,os1901l1c003_ctd
2019-08-07T22:48:13Z,42.0,64.927,190.07784,32.9404,32.9414,2.5182,2.5177,os1901l1c003_ctd
2019-08-07T22:48:13Z,43.0,64.927,190.07784,32.9403,32.9413,2.5182,2.5177,os1901l1c003_ctd
2019-08-07T22:48:13Z,44.0,64.927,190.07784,32.9405,32.9414,2.5183,2.5176,os1901l1c003_ctd
2019-08-07T22:48:13Z,45.0,64.927,190.07784,32.9402,32.9413,2.518,2.5176,os1901l1c003_ctd
2019-08-08T14:20:07Z,0.0,64.393166,192.91034,31.5434,31.5432,10.7044,10.7164,os1901l1c004_ctd
2019-08-08T14:20:07Z,1.0,64.393166,192.91034,31.5434,31.5432,10.7044,10.7164,os1901l1c004_ctd
2019-08-08T14:20:07Z,2.0,64.393166,192.91034,31.5434,31.5432,10.7044,10.7164,os1901l1c004_ctd
2019-08-08T14:20:07Z,3.0,64.393166,192.91034,31.5434,31.5432,10.7044,10.7164,os1901l1c004_ctd
2019-08-08T14:20:07Z,4.0,64.393166,192.91034,31.5436,31.544,10.6909,10.6923,os1901l1c004_ctd
2019-08-08T14:20:07Z,5.0,64.393166,192.91034,31.5437,31.5439,10.6899,10.6894,os1901l1c004_ctd
2019-08-08T14:20:07Z,6.0,64.393166,192.91034,31.5437,31.5445,10.6945,10.6981,os1901l1c004_ctd
2019-08-08T14:20:07Z,7.0,64.393166,192.91034,31.5436,31.544,10.6927,10.6921,os1901l1c004_ctd
2019-08-08T14:20:07Z,8.0,64.393166,192.91034,31.5427,31.5431,10.6822,10.6784,os1901l1c004_ctd
2019-08-08T14:20:07Z,9.0,64.393166,192.91034,31.5219,31.5356,10.5627,10.502,os1901l1c004_ctd
2019-08-08T14:20:07Z,10.0,64.393166,192.91034,31.5015,31.5053,9.75,9.7227,os1901l1c004_ctd
2019-08-08T14:20:07Z,11.0,64.393166,192.91034,31.4978,31.4992,9.4443,9.4363,os1901l1c004_ctd
2019-08-08T14:20:07Z,12.0,64.393166,192.91034,31.4974,31.498,9.361,9.3595,os1901l1c004_ctd
2019-08-08T14:20:07Z,13.0,64.393166,192.91034,31.4988,31.4996,9.3444,9.3441,os1901l1c004_ctd
2019-08-08T14:20:07Z,14.0,64.393166,192.91034,31.498,31.4991,9.3051,9.2956,os1901l1c004_ctd
2019-08-08T14:20:07Z,15.0,64.393166,192.91034,31.4987,31.4994,9.2366,9.2337,os1901l1c004_ctd
2019-08-08T14:20:07Z,16.0,64.393166,192.91034,NaN,NaN,NaN,NaN,os1901l1c004_ctd
2019-08-08T14:20:07Z,17.0,64.393166,192.91034,31.5013,31.5016,9.2019,9.1992,os1901l1c004_ctd
2019-08-08T14:20:07Z,18.0,64.393166,192.91034,31.502,31.5029,9.1846,9.1832,os1901l1c004_ctd
2019-08-08T14:20:07Z,19.0,64.393166,192.91034,31.5026,31.5035,9.1797,9.18,os1901l1c004_ctd
2019-08-08T14:20:07Z,20.0,64.393166,192.91034,31.503,31.5037,9.1751,9.1747,os1901l1c004_ctd
2019-08-08T14:20:07Z,21.0,64.393166,192.91034,31.5032,31.5038,9.1753,9.1752,os1901l1c004_ctd
2019-08-08T14:20:07Z,22.0,64.393166,192.91034,31.5032,31.5038,9.1758,9.1753,os1901l1c004_ctd
2019-08-08T14:20:07Z,23.0,64.393166,192.91034,31.5031,31.5039,9.1761,9.1757,os1901l1c004_ctd
2019-08-08T14:20:07Z,24.0,64.393166,192.91034,31.503,31.5036,9.1755,9.1753,os1901l1c004_ctd
2019-08-08T14:20:07Z,25.0,64.393166,192.91034,31.5025,31.5029,9.1772,9.1767,os1901l1c004_ctd
2019-08-08T16:16:28Z,0.0,64.3895,192.92284,31.5306,31.5315,10.4533,10.4554,os1901l1c005_ctd
2019-08-08T16:16:28Z,1.0,64.3895,192.92284,31.5306,31.5315,10.4533,10.4554,os1901l1c005_ctd
2019-08-08T16:16:28Z,2.0,64.3895,192.92284,31.5306,31.5315,10.4533,10.4554,os1901l1c005_ctd
2019-08-08T16:16:28Z,3.0,64.3895,192.92284,31.5306,31.5315,10.4533,10.4554,os1901l1c005_ctd
2019-08-08T16:16:28Z,4.0,64.3895,192.92284,31.5327,31.5332,10.4752,10.471,os1901l1c005_ctd
2019-08-08T16:16:28Z,5.0,64.3895,192.92284,31.5323,31.5339,10.4781,10.4797,os1901l1c005_ctd
2019-08-08T16:16:28Z,6.0,64.3895,192.92284,31.5336,31.5337,10.4866,10.4895,os1901l1c005_ctd
2019-08-08T16:16:28Z,7.0,64.3895,192.92284,31.5352,31.5337,10.4906,10.4886,os1901l1c005_ctd
2019-08-08T16:16:28Z,8.0,64.3895,192.92284,31.5315,31.5335,10.4853,10.4875,os1901l1c005_ctd
2019-08-08T16:16:28Z,9.0,64.3895,192.92284,31.532,31.5338,10.4531,10.4508,os1901l1c005_ctd
2019-08-08T16:16:28Z,10.0,64.3895,192.92284,31.5065,31.5193,10.0888,10.0445,os1901l1c005_ctd
2019-08-08T16:16:28Z,11.0,64.3895,192.92284,31.4989,31.4958,9.5168,9.4921,os1901l1c005_ctd
2019-08-08T16:16:28Z,12.0,64.3895,192.92284,31.4954,31.4967,9.4155,9.4042,os1901l1c005_ctd
2019-08-08T16:16:28Z,13.0,64.3895,192.92284,31.496,31.497,9.3423,9.3375,os1901l1c005_ctd
2019-08-08T16:16:28Z,14.0,64.3895,192.92284,31.4949,31.4961,9.2758,9.2714,os1901l1c005_ctd
2019-08-08T16:16:28Z,15.0,64.3895,192.92284,31.4979,31.4983,9.2515,9.2487,os1901l1c005_ctd
2019-08-08T16:16:28Z,16.0,64.3895,192.92284,31.4977,31.4981,9.227,9.225,os1901l1c005_ctd
2019-08-08T16:16:28Z,17.0,64.3895,192.92284,31.4996,31.5001,9.1778,9.1757,os1901l1c005_ctd
2019-08-08T16:16:28Z,18.0,64.3895,192.92284,31.5007,31.5015,9.1734,9.1732,os1901l1c005_ctd
2019-08-08T16:16:28Z,19.0,64.3895,192.92284,31.5014,31.5021,9.1709,9.1703,os1901l1c005_ctd
2019-08-08T16:16:28Z,20.0,64.3895,192.92284,31.5024,31.503,9.1651,9.1634,os1901l1c005_ctd
2019-08-08T16:16:28Z,21.0,64.3895,192.92284,31.5029,31.5031,9.1642,9.1636,os1901l1c005_ctd
