,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
37,CH-K03-2012,CH-K03,71.0,-165.430434159376,86.0,CTD,2012,41.0,6.029,31.397,-2.040220829,5.0,3.255,32.342,1.249901736,5.0,0.124440657,3.165475048,7.079548008,0.52,16.5
38,CH-K04-2012,CH-K04,71.0,-163.895651239064,84.0,CTD,2012,43.0,4.779,29.865,-1.427116356,1.0,1.22,32.606,1.378766095,5.0,0.1585535,3.602776755,7.802563681,0.76,9.0
39,CH-K05-2012,CH-K05,71.0,-162.360868318752,82.0,CTD,2012,45.0,5.849,30.474,-0.544727175,5.0,3.015,32.42,1.061256502,5.0,0.144202046,3.349904087,6.280923499,0.45,9.0
40,CH-K06-2012,CH-K06,71.0,-160.82608539844,79.0,CTD,2012,46.0,6.3020000000000005,30.741,-1.021651248,5.0,1.785,32.555,1.486139696,5.0,0.14258167900000002,3.238678452,5.627610505,0.6,13.0
41,CH-K07-2012,CH-K07,71.0,-159.291302478128,77.0,CTD,2012,52.0,6.775,31.061,0.482426149,5.0,5.8039999999999985,31.648000000000003,0.542324291,5.0,0.104678774,3.346389145,3.797367509,0.6,9.0
42,CH-K08-2012,CH-K08,71.0,-157.77290666666667,75.0,CTD,2012,25.0,8.901,28.547,-0.967584026,6.0,8.531,28.734,-1.171182982,6.0,0.098019433,3.640214282,2.046948949,0.08,14.5
43,CH-L01-2012,CH-L01,71.5,-168.5,93.0,CTD,2012,48.0,5.468,30.96,-0.7550225840000001,5.0,-0.292,33.03,1.916922612,3.0,0.145971727,2.351375257,8.658813687,1.237607747,17.0
44,CH-L02-2012,CH-L02,71.5,-166.9252445683719,111.0,CTD,2012,46.0,4.538,30.986,-0.7985076959999999,5.0,0.312,32.714,1.818076778,5.0,0.142542851,2.4765384,9.482615673,1.28,16.0
45,CH-L02.5-2012,CH-L02.5,71.5,-166.14532,112.0,CTD,2012,44.0,3.596,30.569000000000006,-0.271768371,5.0,-0.222,32.782,1.326087105,3.0,0.151788498,2.9704144660000003,9.131812525,0.9,19.0
46,CH-L03-2012,CH-L03,71.5,-165.35048913674402,113.0,CTD,2012,40.0,2.988,30.432,-0.94160854,5.0,0.196,32.778,1.391281903,5.0,0.158074656,3.222867846,8.649277426,0.8,18.0
47,CH-L04.5-2012,CH-L04.5,71.5,-162.9834933333333,115.0,CTD,2012,,,,,,,,,,,,,,15.5
48,CH-L05-2012,CH-L05,71.5,-162.200978273488,116.0,CTD,2012,46.0,1.634,29.461,0.126261655,1.0,-1.644,33.358000000000004,1.905847247,3.0,0.16792010899999998,3.280911216,9.654014709,1.47,13.0
49,CH-L06-2012,CH-L06,71.5,-160.62622284186,117.0,CTD,2012,46.0,3.579,29.441,-0.301105093,1.0,-1.665,33.361,2.373622123,3.0,0.168885381,3.589059119,9.557719393,1.19,6.5
50,CH-L07-2012,CH-L07,71.5,-159.051467410231,124.0,CTD,2012,51.0,1.804,27.401,0.231111721,1.0,-1.6969999999999998,33.331,3.0194488,3.0,0.17849943,3.17805383,9.447221814,1.15,11.0
51,CH-L08-2012,CH-L08,71.5,-157.476711978602,123.0,CTD,2012,98.0,5.027,29.874,0.086177696,1.0,-1.332,33.103,2.187174241,3.0,0.134270579,3.7208625,9.87724658,1.64,17.5
52,CH-M01-2012,CH-M01,72.0,-168.5,109.0,CTD,2012,51.0,3.454,29.541,-0.210721031,1.0,-0.518,33.15,2.577181926,3.0,0.16128747699999998,3.514526067,10.02932483,1.331742426,6.0
