time,pressure,latitude,longitude,S_42,S_41,T_28,T2_35,profile_id
UTC,dbar,degrees_north,degrees_east,PSU,PSU,C,C,
2019-09-20T22:44:08Z,21.0,68.00217,192.79134,31.9077,31.9052,7.9875,7.9868,os1901l3c081_ctd
2019-09-20T22:44:08Z,22.0,68.00217,192.79134,31.9082,31.9057,7.9863,7.9857,os1901l3c081_ctd
2019-09-20T22:44:08Z,23.0,68.00217,192.79134,31.9098,31.9076,7.9833,7.9832,os1901l3c081_ctd
2019-09-20T22:44:08Z,24.0,68.00217,192.79134,31.916,31.9135,7.9736,7.9728,os1901l3c081_ctd
2019-09-20T22:44:08Z,25.0,68.00217,192.79134,31.9276,31.9242,7.9427,7.9408,os1901l3c081_ctd
2019-09-20T22:44:08Z,26.0,68.00217,192.79134,31.9771,31.974,7.8087,7.8068,os1901l3c081_ctd
2019-09-20T22:44:08Z,27.0,68.00217,192.79134,32.0068,32.0046,7.7082,7.7084,os1901l3c081_ctd
2019-09-20T22:44:08Z,28.0,68.00217,192.79134,32.081,32.0606,7.3655,7.3435,os1901l3c081_ctd
2019-09-20T22:44:08Z,29.0,68.00217,192.79134,32.154,32.1525,6.9518,6.9401,os1901l3c081_ctd
2019-09-20T22:44:08Z,30.0,68.00217,192.79134,32.1736,32.1741,6.7757,6.7798,os1901l3c081_ctd
2019-09-20T22:44:08Z,31.0,68.00217,192.79134,32.1999,32.1975,6.6589,6.6555,os1901l3c081_ctd
2019-09-20T22:44:08Z,32.0,68.00217,192.79134,32.2105,32.2073,6.6064,6.6005,os1901l3c081_ctd
2019-09-20T22:44:08Z,33.0,68.00217,192.79134,32.2211,32.2193,6.5479,6.5473,os1901l3c081_ctd
2019-09-20T22:44:08Z,34.0,68.00217,192.79134,32.2256,32.2237,6.5335,6.5336,os1901l3c081_ctd
2019-09-20T22:44:08Z,35.0,68.00217,192.79134,32.2367,32.2343,6.5129,6.5101,os1901l3c081_ctd
2019-09-20T22:44:08Z,36.0,68.00217,192.79134,32.2492,32.2444,6.4373,6.426,os1901l3c081_ctd
2019-09-20T22:44:08Z,37.0,68.00217,192.79134,32.2792,32.2757,6.2243,6.222,os1901l3c081_ctd
2019-09-20T22:44:08Z,38.0,68.00217,192.79134,32.2778,32.2907,6.1298,6.1271,os1901l3c081_ctd
2019-09-20T22:44:08Z,39.0,68.00217,192.79134,32.2973,32.2951,6.1006,6.0985,os1901l3c081_ctd
2019-09-20T22:44:08Z,40.0,68.00217,192.79134,32.2987,32.2959,6.0969,6.0954,os1901l3c081_ctd
