Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2)
66.501,-167.19,28.839,7.1837,1.3491,0.00042715,0.00056013,0.0025895,0.00081507
66.501,-167.21,28.82,8.5562,1.3856,0.00050289,0.00065945,0.0030486,0.00095958
66.501,-167.23,28.833,7.1868,0.19505,0.00042226,0.00055372,0.0025598,0.00080574
66.503,-167.25,29.047,6.1584,0.1251,0.00036198,0.00047468,0.0021944,0.00069071
66.503,-167.26,29.139,7.8871,0.19935,0.00046695,0.00061232,0.0028307,0.00089101
66.455,-167.29,27.534,16.766,1.7911,0.00099995,0.0013113,0.0060619,0.001908
66.463,-167.29,27.775,2.3181,0.1217,0.00013522,0.00017732,0.00081972,0.00025802
66.472,-167.29,28.062,4.4398,0.035497,0.00026037,0.00034142,0.0015784,0.00049682
66.48,-167.29,28.321,4.8362,0.085664,0.0002813,0.00036887,0.0017053,0.00053676
66.488,-167.29,28.612,4.7578,0.15677,0.00027605,0.00036199,0.0016735,0.00052674
66.494,-167.31,28.853,5.1576,0.038108,0.00029825,0.0003911,0.001808,0.0005691
66.499,-167.32,28.979,5.0795,0.00746,0.00029516,0.00038706,0.0017893,0.00056322
66.5,-167.34,28.959,7.6656,0.061774,0.00044651,0.00058551,0.0027068,0.000852
66.501,-167.36,28.871,6.175,0.10796,0.0003632,0.00047627,0.0022018,0.00069304
66.5,-167.39,28.756,4.5754,0.032258,0.00026988,0.0003539,0.0016361,0.00051497
66.5,-167.41,28.61,7.05,0.12167,0.00041675,0.00054649,0.0025264,0.00079522
66.5,-167.43,28.393,12.313,0.04237,0.00072237,0.00094726,0.0043791,0.0013784
66.5,-167.45,28.125,248.4,0.63728,0.00032602,0.00026763,0.0012372,0.050593
66.5,-167.47,27.983,111.85,0.13609,0.00015594,0.00013281,0.000614,0.022696
66.5,-167.49,27.704,2.0914,0.16869,0.00012047,0.00015797,0.00073029,0.00022987
66.501,-167.55,27.044,175.32,0.026447,0.00020363,0.00016731,0.00077345,0.031555
66.5,-167.57,26.759,1.6531,0.13021,9.5273e-05,0.00012493,0.00057756,0.00018179
66.5,-167.59,26.441,1.1356,0.23997,6.5562e-05,8.5972e-05,0.00039745,0.0001251
66.5,-167.61,26.186,1.349,0.97738,7.8446e-05,0.00010287,0.00047555,0.00014969
66.5,-167.63,25.985,1.9816,1.2349,0.00011488,0.00015065,0.00069643,0.00021921
